fold,n_train_rows,n_val_rows,n_val_games,roc_auc,log_loss,brier_score,baseline_kalshi_roc_auc,baseline_kalshi_log_loss,baseline_kalshi_brier_score
1,271832,67944,823,0.923239765738746,0.34732291559894485,0.11283100979211852,0.9233471059564099,0.34908448537121906,0.1130306605439774
2,271834,67942,823,0.917949433206583,0.3566337727669755,0.11680897968147701,0.9179572506021971,0.35829044408750105,0.11692610609048895
3,271834,67942,823,0.9164120721485505,0.3622515038979529,0.11771154924109185,0.9165173515797773,0.3626645881849396,0.11763354037267082
4,271834,67942,823,0.9100300171787474,0.37028170072146327,0.12305886457691356,0.9100105133334359,0.370658602059555,0.1226507462247211
5,271770,68006,824,0.9160751184525602,0.358435927438641,0.11866316407481536,0.9160078228028353,0.35947225040501185,0.11842358468370438
