feature_set,removed_feature,n_features,roc_auc,log_loss,brier_score,delta_roc_auc,delta_log_loss,delta_brier_score,relative_brier_change_pct
extended_market,kalshi_prob_x_minute,14,0.9137258497483922,0.37914131246360355,0.12190116060809161,0.0009071195524896769,0.0021916008191564806,0.00039175416655749806,0.32240645233173437
extended_market,game_minute,14,0.9128138992621064,0.376949437117808,0.12150985374403907,-4.830933796107217e-06,-2.745266390880019e-07,4.4730250495228496e-07,0.00036812171012250855
extended_market,quote_gap_pct,14,0.9128300152971245,0.3769489617276406,0.1215095268340435,1.1285101221947258e-05,-7.499168064861728e-07,1.2039250937845303e-07,9.908081432064398e-05
extended_market,is_first_half,14,0.9128208158655888,0.3769490988013967,0.12150940726770468,2.085669686291425e-06,-6.12843050362688e-07,8.261705625178806e-10,6.79923132465801e-07
extended_market,(none - full model),15,0.9128187301959025,0.37694971164444707,0.12150940644153412,0.0,0.0,0.0,0.0
extended_market,is_overtime,14,0.9128187301959025,0.3769497116444468,0.12150940644153371,0.0,-2.7755575615628914e-16,-4.0245584642661925e-16,-3.3121373744860347e-13
extended_market,is_halftime,14,0.9128186886597296,0.37694970514861537,0.12150939236824036,-4.153617294555545e-08,-6.495831705866095e-09,-1.407329375258115e-08,-1.1582061146313561e-05
extended_market,elapsed_fraction,14,0.9128175837975353,0.3769482324531812,0.1215091498584205,-1.1463983672355127e-06,-1.4791912658629336e-06,-2.565831136169816e-07,-0.00021116316928141693
extended_market,log_total_volume,14,0.9128230100831403,0.3769490160893346,0.12150904739291872,4.279887237723656e-06,-6.955551124510073e-07,-3.5904861539481914e-07,-0.00029549038704882504
extended_market,abs_quote_gap_pct,14,0.9128207161787745,0.37694864334609324,0.12150899115709628,1.9859828719326345e-06,-1.0682983538345958e-06,-4.1528443783800384e-07,-0.00034177143152931417
extended_market,is_second_half,14,0.912822105702206,0.376948163416943,0.12150877505413431,3.3755063034712762e-06,-1.5482275040890059e-06,-6.313873998076147e-07,-0.0005196201827480865
extended_market,kalshi_win_prob_pct,14,0.9127804100305762,0.37694584413162985,0.12150664144362482,-3.83201653263443e-05,-3.8675128172238615e-06,-2.7649979092991828e-06,-0.002275542273041716
extended_market,opponent_win_prob_pct,14,0.912801076768678,0.37693303380680326,0.12150162793484122,-1.7653427224484375e-05,-1.6677837643808147e-05,-7.778506692895926e-06,-0.006401567517028946
extended_market,volume_share,14,0.9129647603028966,0.3770713750785505,0.12148831291721794,0.00014603010699409946,0.00012166343410341396,-2.1093524316173617e-05,-0.017359581396953865
extended_market,log_opponent_volume,14,0.9129637523584385,0.37720660729682365,0.12147458359644997,0.00014502216253597933,0.0002568956523765764,-3.482284508414535e-05,-0.028658559122252666
extended_market,log_team_volume,14,0.9129636964230592,0.3772006947492962,0.12147126143166569,0.00014496622715665097,0.0002509831048491118,-3.8145009868428836e-05,-0.031392639455269516
