fold,n_train_rows,n_val_rows,n_val_games,roc_auc,log_loss,brier_score,baseline_kalshi_roc_auc,baseline_kalshi_log_loss,baseline_kalshi_brier_score
1,271832,67944,823,0.923239931236131,0.3473224122033539,0.11283070061899221,0.9233471059564099,0.34908448537121906,0.1130306605439774
2,271834,67942,823,0.9179498456746109,0.35663409525578005,0.11680887664268823,0.9179572506021971,0.35829044408750105,0.11692610609048895
3,271834,67942,823,0.9164131717744477,0.3622503013025081,0.11771113567499523,0.9165173515797773,0.3626645881849396,0.11763354037267082
4,271834,67942,823,0.9100297788831432,0.37028154089552917,0.1230584874866396,0.9100105133334359,0.370658602059555,0.1226507462247211
5,271770,68006,824,0.9160748762807654,0.3584353494319811,0.11866269683066548,0.9160078228028353,0.35947225040501185,0.11842358468370438
